familia,instancia,costo_greedy,costo_regret,costo_shift,costo_swap,costo_shift_swap,tiempo_greedy_ms,tiempo_regret_ms,tiempo_shift_ms,tiempo_swap_ms,tiempo_shift_swap_ms
gap_a,a05100,1766.0,1698.0,1698.0,1698.0,1698.0,0.03,0.38,0.41,0.53,0.49
gap_a,a05200,3298.0,3235.0,3235.0,3235.0,3235.0,0.04,1.47,1.53,1.85,1.88
gap_a,a10100,1392.0,1361.0,1361.0,1361.0,1361.0,0.04,0.64,0.69,0.77,0.78
gap_a,a10200,2692.0,2623.0,2623.0,2623.0,2623.0,0.06,2.66,2.72,3.07,3.1
gap_a,a20100,1176.0,1158.0,1158.0,1158.0,1158.0,0.05,1.19,1.25,1.33,1.34
gap_a,a20200,2371.0,2339.0,2339.0,2339.0,2339.0,0.11,4.59,4.74,5.15,5.14
gap_b,b05100,5245.0,4227.0,4227.0,4227.0,4227.0,0.02,0.35,0.37,0.44,0.44
gap_b,b05200,10021.0,8965.0,8965.0,8965.0,8965.0,0.04,1.37,1.45,1.69,1.71
gap_b,b10100,2809.0,2002.0,2002.0,1975.0,1572.0,0.04,0.65,0.69,1.12,1.3
gap_b,b10200,8460.0,7156.0,7156.0,7088.0,6280.0,0.06,2.52,2.59,5.41,6.69
gap_b,b20100,2339.0,1194.0,1194.0,1187.0,1187.0,0.05,1.16,1.23,1.58,1.66
gap_b,b20200,3655.0,3424.0,3424.0,3369.0,2408.0,0.13,4.56,4.67,12.14,11.73
gap_e,e05100,189117.0,158446.0,158446.0,158446.0,158446.0,0.03,0.25,0.28,0.31,0.31
gap_e,e05200,432176.0,374106.0,374106.0,374106.0,374106.0,0.05,0.89,0.93,1.02,1.03
gap_e,e10100,178354.0,157826.0,157826.0,157826.0,157826.0,0.03,0.48,0.51,0.54,0.53
gap_e,e10200,438936.0,391204.0,391204.0,391204.0,391204.0,0.06,1.53,1.6,1.69,1.68
gap_e,e10400,928235.0,821112.0,821112.0,820048.0,818038.0,0.12,5.56,5.68,7.43,7.99
gap_e,e15900,2127579.0,1987821.0,1987821.0,1984577.0,1978882.0,0.32,38.56,38.91,65.66,69.44
gap_e,e20100,172719.0,122301.0,122301.0,122301.0,122301.0,0.05,0.98,1.05,1.07,1.08
gap_e,e201600,3910434.0,3704386.0,3704386.0,3701076.0,3697056.0,0.64,125.0,125.31,168.0,174.26
gap_e,e20200,398741.0,360162.0,360162.0,356893.0,349077.0,0.1,3.04,3.15,4.71,5.0
gap_e,e20400,867558.0,858712.0,858712.0,856517.0,851139.0,0.17,10.1,10.35,15.24,15.79
gap_e,e30900,2115717.0,2051209.0,2051209.0,2048926.0,2046416.0,0.5,63.06,63.73,73.74,75.91
gap_e,e401600,3906607.0,3826944.0,3826944.0,3826925.0,3826925.0,1.06,212.11,213.57,225.01,223.91
gap_e,e40400,830795.0,810542.0,810542.0,810539.0,810539.0,0.3,25.1,22.52,29.84,23.53
gap_e,e60900,2013658.0,2014226.0,2013658.0,2006573.0,1996483.0,0.88,129.17,130.46,160.69,165.64
gap_e,e801600,3761611.0,3773630.0,3761611.0,3749352.0,3741988.0,1.96,448.9,451.47,622.03,631.63
