familia,instancia,best_iters,best_perturb_divisor,best_avg_cost,shift_swap_cost,mejora_pct_vs_shift_swap
gap_a,a05100,50,100,1698.0,1698.0,0.0
gap_a,a05200,50,100,3235.0,3235.0,0.0
gap_a,a10100,300,50,1360.0,1361.0,0.07
gap_a,a10200,50,100,2623.0,2623.0,0.0
gap_a,a20100,50,100,1158.0,1158.0,0.0
gap_a,a20200,50,100,2339.0,2339.0,0.0
gap_b,b05100,300,20,2039.0,4227.0,51.76
gap_b,b05200,300,20,3584.67,8965.0,60.01
gap_b,b10100,300,20,1413.0,1572.0,10.11
gap_b,b10200,300,20,2869.0,6280.0,54.32
gap_b,b20100,300,20,1178.0,1187.0,0.76
gap_b,b20200,300,20,2354.0,2408.0,2.24
gap_e,e05100,300,20,13154.33,158446.0,91.7
gap_e,e05200,300,20,25946.0,374106.0,93.06
gap_e,e10100,300,20,12336.0,157826.0,92.18
gap_e,e10200,300,20,24500.0,391204.0,93.74
gap_e,e10400,300,20,49509.33,818038.0,93.95
gap_e,e15900,200,50,162207.0,1978882.0,91.8
gap_e,e20100,300,20,8908.33,122301.0,92.72
gap_e,e201600,200,50,261656.0,3697056.0,92.92
gap_e,e20200,300,20,23468.33,349077.0,93.28
gap_e,e20400,300,20,47634.67,851139.0,94.4
gap_e,e30900,200,50,167243.0,2046416.0,91.83
gap_e,e401600,200,50,244133.5,3826925.0,93.62
gap_e,e40400,300,20,47112.0,810539.0,94.19
gap_e,e60900,200,50,156975.5,1996483.0,92.14
gap_e,e801600,200,50,251595.5,3741988.0,93.28
